Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami	minneapolis	new-orleans	st-louis	baltimore	san-antonio-tx	orlando-fl	santa-barbara-ca	santa-cruz-ca-us	san-gabriel-ca	pittsburgh	fort-lauderdale-fl	detroit	charlotte-nc	nashville	columbus-oh	salt-lake-city	providence	milwaukee	kansas-city-mo	indianapolis-in	cincinnati-oh	tucson-az	ann-arbor-mi	fort-worth	raleigh-nc	virginia-beach-va-us	richmond	cleveland	colorado-springs-co	albuquerque	madison	santa-clarita-ca	reno-nv-us	san-fernando-valley-ca	fresno-ca	tacoma-wa-us	jax	ontario-ca	stockton-ca	oklahoma-city	bakersfield-ca	louisville	charleston-sc	vancouver-wa	eugene-or	portland-me	buffalo	sonoma-ca-us	modesto-ca-us	memphis	grand-rapids-mi	omaha-ne-us	worcester-ma	rochester-ny-us	gainesville-fl	savannah-ga	albany-ny-us	birmingham-al	asheville-nc	hartford	wilmington-de	spokane-wa	westchester-county-ny-us	anchorage-ak	boise-id	baton-rouge-la	el-paso-tx	des-moines-ia	syracuse-ny-us	bloomington-in	columbia-sc	little-rock-ar	lexington-ky	naples-fl	tallahassee-fl-us	knoxville-tn	harrisburg-pa	salem-or-us	greenville-sc	fort-myers-fl-us	dayton-oh	lincoln-ne	corpus-christi-tx	chattanooga-tn	tulsa-ok	wichita-ks	springfield-mo	pensacola-fl-us	south-bend-in-us	allentown-pa	huntsville-al	london-on-ca	athens-ga	daytona-beach-fl	springfield-ma	east-lansing-mi	kalamazoo-mi	fairfield-ct	cedar-rapids-ia	toledo-oh-us	rockford-il	fort-wayne-in	lubbock-tx	columbia-mo	akron-oh-us	augusta-ga	columbus-ga	green-bay-wi	montgomery-al	roanoke-va	sioux-falls-sd	ventura-county-ca	appleton-wi	shreveport-la	palm-beach-fl	mobile-al-us	charleston-wv	amarillo-tx	jackson-ms	billings-mt	lakeland-fl	evansville-in	san-angelo-tx	ogden-ut-us	sudbury-ma	beaumont-tx	abilene-tx-us	ocala-fl-us	macon-ga	erie-pa	midland-tx	topeka-ks	youngstown-oh	tampa-bay-fl
Search Terms	Popularity	Average Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami	Minneapolis	New Orleans	Saint Louis	Baltimore	San Antonio	Orlando	Santa Barbara	Santa Cruz	San Gabriel	Pittsburgh	Fort Lauderdale	Detroit	Charlotte	Nashville	Columbus	Salt Lake City	Providence	Milwaukee	Kansas City	Indianapolis	Cincinnati	Tucson	Ann Arbor	Fort Worth	Raleigh	Virginia Beach	Richmond	Cleveland	Colorado Springs	Albuquerque	Madison	Santa Clarita	Reno	San Fernando Valley	Fresno	Tacoma	Jacksonville	Ontario	Stockton	Oklahoma City	Bakersfield	Louisville	Charleston	Vancouver	Eugene	Portland	Buffalo	Sonoma	Modesto	Memphis	Grand Rapids	Omaha	Worcester	Rochester	Gainesville	Savannah	Albany	Birmingham	Asheville	Hardford	Wilmington	Spokane	Westchester County	Anchorage	Boise	Baton Rouge	El Paso	Des Moines	Syracuse	Bloomington	Columbia	Little Rock	Lexington	Naples	Tallahassee	Knoxville	Harrisburg	Salem	Greenville	Fort Myers	Dayton	Lincoln	Corpus Christi	Chattanooga	Tulsa	Wichita	Springfield	Pensacola	Sound Bend	Allentown	Huntsville	London	Athens	Daytona Beach	Springfield	East Lansing	Kalamazoo	Fairfield	Cedar Rapids	Toledo	Rockford	Fort Wayne	Lubbock	Columbia	Akron	Augusta	Columbus	Green Bay	Montgomery	Roanoke	Sious Falls	Venture County	Appleton	Shreveport	Palm Beach	Mobile	Charleston	Amarillo	Jackson	Billings	Lakeland	Evansville	San Angelo	Ogden	Sudbury	Beaumont	Abilene	Ocala	Macon	Erie	Midland	Topeka	Youngstown	Tampa Bay
Restaurant	151	11.4503311258278	5	5	4	3	9	4	7	3	8	17	5	9	8	13	7	7	28	8	5	10	5	10	5	8	3	14	5	10	10	15	4	7	8	9	13	11	12	8	11	12	7	7	19	9	13	8	19	11	9	21	7	2	11	27	25	12	20	7	4	7	14	5	8	14	19	24	7	12	11	13	7	18	13	13	8	9	13	4	20	12		6	8	11	28	9	16	24	8	12	8	7	9	9	10	18	10	3	12	13	14	7	8	26	13	10	17	13	9		5	6	17	8	5	5	14	10	2	4	15	13	18	21	17	11	8	9	14	9	8			14	15	5	16	19	20	8	10	3	39	15	5	3	21	11	4	14	21	12	36	18	29
Restaurants	151	1.4635761589404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	3	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1		1	2	1	3	2	2	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2	2	2	3	2	2	2	3		1	1	1	2	1	1	3	1	1	1	2	2	2	3	1	1	2	2	2	2	1			3	2	3	2	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1
Breakfast	151	18.6688741721854	10	8	14	11	4	13	6	9	9	9	13	2	16	12	4	16	13	6	11	6	20	14	6	12	14	13	11	5	15	19	9	18	17	20	20	12	13	12	14	15	17	16	11	12	26	17	25	20	15	20	12	11	8	17	28	26	8	17	7	12	22	11	12	11	7	9	6	16	15	29	11	16	17	19	19	15	11	22	26	9		16	15	36	21	13	23	20	15	35	12	14	25	22	19	25	14	22	8	9	19	20	20	18	11	16	11	25	29		30	18	29	10	11	18	20	18	13	19	34	20	24	27	15	22	19	23	15	21	11			21	59	12	20	39	51	10	22	25	40	16	14	14	30	58	69	48	62	13	26	47	74
Massage	151	37.1523178807947	23	20	30	23	16	14	30	46	44	38	33	30	38	22	11	47	47	46	53	39	92	44	77	63	34	62	54	26	27	11	39	76	98	42	49	30	44	47	36	63	44	49	28	22	32	39	35	32	69	29	42	26	16	25	32	23	28	36	25	19	32	25	45	74	18	42	41	42	47	10	69	34	37	45	77	35	65	29	41	46		20	32	25	23	37	37	30	53	42	18	30	27	35	17	26	72	47	33	37	24	43	22	51	54	45	36	63	27		47	32	81	19	70	32	27	21	19	12	51	15	58	31	21	43	23	11	49	19	16			37	69	72	89	9	29	45	26	85	9	20	35	7	32	23	11	19	11	24	31	30	25
Lunch	151	13.6953642384106	3	6	3	7	7	9	3	4	4	32	4	4	5	4	6	9	79	4	4	4	19	16	8	5	8	22	8	6	11	21	7	10	10	10	12	9	6	5	12	3	9	3	18	5	8	7	10	3	5	9	6	6	5	8	54	13	6	5	5	9	5	6	4	3	3	5	5	5	9	21	10	12	5	5	14	3	7	10	18	6		4	7	44	9	8	5	29	4	10	6	10	6	3	7	9	28	5	7	8	8	18	44	31	6	5	28	4	18		4	19	82	5	21	24	6	5	5	6	9	17	6	5	6	19	7	8	29	15	21			6	11	15	13	55	17	16	4	13	36	9	10	2	20	90	63	13	52	25	30	81	38
Sushi	151	18.0927152317881	4	2	6	6	2	2	5	7	10	5	7	6	4	5	3	8	3	7	3	7	7	18	33	15	10	15	6	8	6	4	10	11	22	11	23	13	10	15	16	20	13	11	16	7	12	12	13	14	14	14	11	12	3	6	7	5	15	12	2	3	17	3	13	36	11	10	11	10	81	5	35	10	20	15	10	14	31	13	16	45		7	17	6	11	12	14	13	17	14	17	19	15	20	24	61	30	12	15	5	56	19	18	14	23	14	30	22	19		17	29	7	17	9	15	8	14	16	79	21	11	13	25	29	15	11	13	24	16	18			34	9	14	24	21	58	32	23	45	83	47	19	4	29	50	48	28	57	50	58	35	30
Pizza	151	16.887417218543	9	7	8	5	6	6	9	12	7	18	6	8	14	6	24	13	57	5	6	5	17	28	28	9	9	10	12	16	18	27	5	14	11	12	17	5	17	9	10	19	10	10	10	8	16	18	11	16	10	15	16	14	7	16	30	17	17	15	6	5	19	7	15	31	6	11	21	8	70	20	12	9	14	9	12	12	28	5	13	17		8	13	20	17	17	25	14	14	6	13	18	66	17	11	13	12	9	11	7	9	12	34	13	33	15	21	6	36		6	10	23	16	8	6	13	12	8	11	19	10	15	33	24	7	14	12	18	24	10			16	33	30	19	31	49	25	15	53	11	46	9	5	23	51	34	46	25	14	32	12	52
Dinner	151	11.2384105960265	2	3	2	4	5	7	2	2	6	12	3	3	2	7	5	6	20	3	2	8	14	9	3	7	4	17	7	4	4	16	3	17	6	7	8	10	9	4	4	10	6	6	14	3	23	6	15	5	11	11	8	5	12	11	16	22	13	9	9	14	18	12	7	7	13	2	4	11	10	9	8	8	7	6	9	8	6	6	15	5		5	6	3	10	5	18	18	13	7	9	6	5	6	14	16	6	6	3	6	18	11	25	16	16	12	29	32	28		9	11	8	28	13	8	17	7	6	8	6	9	14	12	11	12	12	5	6	10	9			13	16	8	12	17	75	15	13	23	25	34	8	8	33	27	18	20	16	11	49	16	13
Food	150	17.8666666666667	7	4	10	10	3	3	8	10	5	13	9	5	10	10	9	12	45	12	10	9	15	15	9	20	6	12	9	18	8	10	6	13	5	6	11	7	21	13	25	25	5	14	7	10	9	9	39	6	8	7	5	17	14	9	48	16	27	14	3	6	4	15	6	37	12	14	26	17	45	24	28	4	32	24	20	18	37	21	23	7		12	29	56	8	19	4	8	3	20	20	11	21	18	43	14	3	18	23	27	25	21	9	23	29	11	35	37	24		33	17	35	26	14	25	24	25	17	16	38	24	31	20	19	3	3	10	12	22	14			20	14	95	28	26	3	19	20	43	51	25	21	29	22	8		40	23	6	3	23	17
