Yelp URL Slug			san-francisco	la	nyc	chicago	san-diego	san-jose	seattle	boston	austin	las-vegas	philadelphia	portland	houston	sacramento	honolulu	atlanta	oc	denver	dallas	phoenix	miami
Search Terms	Popularity	Average Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Brunch	21	23.2380952380952	8	12	5	8	18	42	14	6	13	78	8	15	19	24	73	17	18	16	15	56	23
Food	21	10.4285714285714	7	4	10	10	3	3	8	10	5	13	9	5	10	10	9	12	45	12	10	9	15
Happy Hour	21	32.0	14	16	20	71	19	36	10	67	18	87	38	7	11	16	32	48	64	9	23	21	45
Thai	21	26.1428571428571	12	11	11	13	11	11	11	25	31	41	18	10	27	18	30	32	95	27	26	24	65
Breakfast	21	10.0952380952381	10	8	14	11	4	13	6	9	9	9	13	2	16	12	4	16	13	6	11	6	20
Restaurants	21	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Italian Restaurant	21	36.3333333333333	19	24	17	20	23	23	33	24	54	42	19	34	42	40	40	92	33	48	56	26	54
Restaurant	21	8.09523809523809	5	5	4	3	9	4	7	3	8	17	5	9	8	13	7	7	28	8	5	10	5
Lunch	21	10.4761904761905	3	6	3	7	7	9	3	4	4	32	4	4	5	4	6	9	79	4	4	4	19
Massage	21	35.3333333333333	23	20	30	23	16	14	30	46	44	38	33	30	38	22	11	47	47	46	53	39	92
Pizza	21	11.8095238095238	9	7	8	5	6	6	9	12	7	18	6	8	14	6	24	13	57	5	6	5	17
Italian	21	35.1904761904762	20	21	12	15	25	39	27	14	45	48	14	38	36	76	20	67	67	34	45	37	39
Dinner	21	5.61904761904762	2	3	2	4	5	7	2	2	6	12	3	3	2	7	5	6	20	3	2	8	14
Sushi	21	5.19047619047619	4	2	6	6	2	2	5	7	10	5	7	6	4	5	3	8	3	7	3	7	7
Chinese	20	26.4	17	30	16	16	27	18	31	29	25	40	15	33	22	21	54	30		26	30	18	30
Seafood	20	51.35	27	53	94	66	26	66	19	16	84	80	79	45	37	73	29	52	42		46	62	31
Mexican Food	20	42.65	45	25	66	30	13	25	41	85	17	55	61	35	41	17	64	97		29	28	13	66
Mexican	20	31.45	25	26	19	14	15	29	25	38	20	79	22	29	28	28	69	31		19	29	16	68
Hair Salons	20	51.35	39	38	47	29	29	24	47	40	52		42	41	60	34	92	74	97	54	86	42	60
Chinese Food	20	26.4	16	19	28	19	10	15	24	27	21	44	26	16	29	8	60	39		24	52	17	34
Pho	19	36.7368421052632	18	18	89	99	12	5	12		39	71	29	17	31	14	19	78	44	15	37	51	
Bars	19	20.1052631578947	6	10	7	9	17	61	13	8	22		11	12	18	25	37	22		17	20	29	38
Dentist	19	49.5263157894737	36	31	64	24	20	16	34	64	30		66	62	50	26		63	85	37	98	47	88
Steak	19	54.8421052631579	58	50	40	42	51	46	57	58	53	21		71	51	100	56	81	63	56	34	54	
Coffee	18	34.1111111111111	13	22	15	22	32	44	16	30	27		23	11	47	45	80	44		25	84	34	
Cheap Dinner	18	56.1111111111111	64	60	25	37	61		48	43	71	91	35	44	66	83	45	46		59		53	79
Delivery	18	33.1111111111111	26	14	87	26	28	84	18	48	14		25	26	33	51		35		10	32	27	12
Best Breakfast	18	33.8888888888889	33	61	88	53	14		54	78	24	2	17	19	9	15	14			13	73	22	21
Bakery	18	62.3333333333333	49	36	34	39	64	32	39	79	100		65	61	97	42	57			70	85	83	90
Bar	18	39.5555555555556	11	17	9	12	38	76	23	15	57		20	24	49	77	86	49		31	60	58	
Nightlife	17	31.8823529411765	89	44		38	36	70	32		41	34		18	13	31	31	2		20	12	15	16
Indian Food	17	44.0	35	42	46	28	22	31	38	47	36		52	40	63	39		51		58	68	52	
