Search Terms	Ranking	San Francisco	Los Angeles	New York	Chicago	San Diego	San Jose	Seattle	Boston	Austin	Las Vegas	Philadelphia	Portland	Houston	Sacramento	Honolulu	Atlanta	Orange County	Denver	Dallas	Phoenix	Miami
Restaurants	1.0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Top Restaurants Downtown	2.0				2																	
Fascination	2.0																				2	
Chinese Meggie	2.0									2												
Midtown Restaurants	2.0																					2
16th Street Mall Restaurants	2.0																		2			
Restaurants At The Domain	3.0									3												
Best Shows	4.0										4											
Places To Take Pictures	5.0																	5				
Sushi	5.19047619047619	4	2	6	6	2	2	5	7	10	5	7	6	4	5	3	8	3	7	3	7	7
Dinner	5.61904761904762	2	3	2	4	5	7	2	2	6	12	3	3	2	7	5	6	20	3	2	8	14
Furla	7.0																	7				
Serendipitously-closed	8.0																			8		
Santana Row Restaurants	8.0						8															
All Inclusive Resorts	8.0																					8
Restaurant	8.09523809523809	5	5	4	3	9	4	7	3	8	17	5	9	8	13	7	7	28	8	5	10	5
Swingers Clubs	9.0																			9		
Adult Entertainment For Couples	10.0										10											
Byob	10.0				18							2										
Brickell Restaurants	10.0																					10
Restaurants Near Perimeter Mall	10.0																10					
Breakfast	10.0952380952381	10	8	14	11	4	13	6	9	9	9	13	2	16	12	4	16	13	6	11	6	20
Food	10.4285714285714	7	4	10	10	3	3	8	10	5	13	9	5	10	10	9	12	45	12	10	9	15
Lunch	10.4761904761905	3	6	3	7	7	9	3	4	4	32	4	4	5	4	6	9	79	4	4	4	19
Taco Tuesday	11.0																	11				
Best North End Restaurant	11.0								11													
Bars With Live Music	11.0																11					
Pizza	11.8095238095238	9	7	8	5	6	6	9	12	7	18	6	8	14	6	24	13	57	5	6	5	17
Best Philly Cheesesteak	12.0											12										
Swinger's Club	12.0													12								
Waikiki Best Seafood Buffet	12.0															12						
Trails Smoke Shop	12.0																				12	
Top Restaurants	13.0																			13		
10 Best Mid Town Restaurants	13.0			13																		
Wholesale Fashion Clothes	13.0																					13
All You Can Eat Sushi	14.0																	14				
Resturants	15.0													15								
Best Tattoo Parlors	15.0									15												
Best Breakfast Downtown	15.0							15														
Restaurant Row	15.0															15						
Fun Date Night Ideas	16.0																	16				
Cab Companies	16.0											16										
The Waikiki Airport Shuttle	16.0															16						
Haunted Houses	16.3333333333333						27						13		9							
Uptown Bars	17.0																			17		
Airport Parking	17.0						17															
Best Deep Dish Pizza	17.0				17																	
53 By The Sea	17.0															17						
Hawaiian Food	18.0															18						
South Bay Shopping Center	18.0								18													
Gay Bath Houses	19.0																	19				
Dating Ideas	19.0									19												
Bars To Meet Older Women	19.0																				19	
Best Place To Eat	19.0														19							
Seaport Restaurants	19.0								19													
Swinger Clubs	19.5										6						5	10	82		11	3
Top 20 Best Hip Hop Night Clubs	20.0													20								
La Galleria 33	20.0								20													
Amore Classic Ceramic Flat Iron	20.0							20														
Bacchanal Buffet	20.0										20											
Dinner And Live Jazz	20.0																20					
Bars	20.1052631578947	6	10	7	9	17	61	13	8	22		11	12	18	25	37	22		17	20	29	38
Pok Pok	21.0												21									
10 Best Chelsea Restaurants	21.0			21																		
18 Plus Clubs	21.0								21													
Knox Henderson Restaurant	22.0																			22		
Best Places For Lunch	22.0							22														
Cheap Eats	22.0															22						
Empire	22.0								22													
Best Italian Restaurant	23.0										23											
North End Restaurants	23.0								23													
Dance Clubs 18 And Over	23.0																				23	
Restaurants Near Airport	23.0																23					
Brunch	23.2380952380952	8	12	5	8	18	42	14	6	13	78	8	15	19	24	73	17	18	16	15	56	23
Best Italian Restaurants	23.5													6						41		
Best Buffet	24.0										24											
Michelin Star Restaurants	25.0																					25
Best Breakfast Buffet	25.0										25											
Westheimer Restaurants	25.0													25								
Luau	25.0															25						
Fun Restaurant	25.0																25					
Best Brunch	25.2222222222222		47					49	5	23	29	24					21		18			11
Fun Date Ideas	25.25							53	31					7			4	21	50	18		18
Teen Night Clubs	26.0																					26
Diners Drive-ins And Dives	26.0							26														
Best Restaurants	26.0	28						44			11	56		34	2	2	3		38	42		
Breakfast Tacos	26.0									26												
Thai	26.1428571428571	12	11	11	13	11	11	11	25	31	41	18	10	27	18	30	32	95	27	26	24	65
Chinese	26.4	17	30	16	16	27	18	31	29	25	40	15	33	22	21	54	30		26	30	18	30
Chinese Food	26.4	16	19	28	19	10	15	24	27	21	44	26	16	29	8	60	39		24	52	17	34
Currency Exchange	27.0																	27				
Side Street Inn	27.0															27						
Night Clubs For 18 Year Olds	27.0																27					
Best Place To Celebrate Birthdays	27.0																					27
Natomas Restaurants	27.0														27							
Michigan Avenue Restaurants	27.0				27																	
Inexpensive Party Event Venues	28.0									28												
Breakfast Waikiki	28.0															28						
Federal Pizza	28.0																				28	
Parking Downtown	28.0							28														
Cuban	28.0																					28
Best Place To Celebrate Birthday	28.0																28					
Golden Corral	28.0										28											
Live Music Venues	28.5														36					21		
Laser Tag	29.0																	29				
Cuban Food	29.0																					29
Two Dollar Movie Theater	29.0																29					
Costume Rentals	29.0		35															23				
Best Steakhouse	29.5										36			23								
18 And Over Night Clubs	29.5																55					4
Fun Things To Do	29.6666666666667		40								14	31	14		3				76			
Fill A Seat Dallas	30.0																				30	
Restaurants With Private Dining Rooms	30.0																	30				
Han Dynasty	30.0											30										
Nopa	30.0	30																				
Bachi Burger	30.0										30											
Marina Fish House	31.0												31									
Caesars Palace Buffet	31.0										31											
Halloween Stores	31.0				31																	
Craigslist	31.1538461538462				21	74	19	4	13	11		10		17	60		61	52	57			6
Mexican	31.45	25	26	19	14	15	29	25	38	20	79	22	29	28	28	69	31		19	29	16	68
Nightlife	31.8823529411765	89	44		38	36	70	32		41	34		18	13	31	31	2		20	12	15	16
Byob Restaurants	32.0											32										
Best Lunch Places	32.0													32								
18 + Clubs	32.0			32																		
